"paragraph","questionNumber","question","choiceA","choiceB","choiceC","choiceD","choiceE","Answer"
"Edebiyat; hava gibi, su gibi, güneş gibi, toprak gibi vazgeçilmezdi. Onunla yatılıp onunla kalkılıyordu ve yaratıcı gücünün sonsuzluğuna, edebiyatın insanı insan yapma büyüsüne İnanılıyordu. Toplumun yozlaşmaya ve her şeyin parayla ölçüldüğü, bilgi ve kültüre duyulan saygının, kredi kartlarına, görselliğe yönelmeye başladığı yıllarda, edebiyat ""Bir işlevi yok."" düşüncesiyle gazetelerden kovuldu. Edebiyat kovulunca da gazeteler çirkinleşti, gazetelerle birlikte dil de espri de düşünce de sığlaşıp yüceliğini yitirdi.","1","Bu parçaya dayanılarak, edebiyatla ilgili olarak aşağıdakilerden hangisine varılamaz?","Ticari bir getirişi olmadığı gerekçesiyle gazetelerden uzaklaştırıldığına","Bir zamanlar yaşamın her alanında varlığını hissettirdiğine","Kendini yenileyemediği İçin ilgi görmediğine","İkinci plana itildiği için, dil, düşünce ve espri kalitesinin düştüğüne","Ticari zihniyetin egemen olmaya başlamasıyla etkisini yitirdiğine","C"
"Kız çocuklar erkek çocuklardan daha çabuk olgunlaşıyor, daha çabuk büyüyor. Yani bir anlamda hayata daha önde başlıyor. Sonra... Toplum, eğitim, aile, adım adım azaltıyoruz kendilerine olan güvenlerini. Öyle ki buluğ çağına vardıklarında o eski yaratıcılıklarından, girişkenliklerinden eser kalmamış oluyor çoğu zaman. Geri çekiliyorlar. Lise, üniversite aşamasına geldiklerinde büsbütün isteksizleşiyorlar kamusal alanda konuşmak konusunda. ""Başkaları beğenmez"" kaygısı değil mi bizi bu kadar ürkekleştiren? Neden hep dinlemeyi tercih ediyoruz, bir fikrimiz olduğu halde, birçok fikrimiz olduğu halde?...","2","Yukarıdaki paragrafın hangi cümle ile sürdürülmesi daha uygun olacaktır?","Dışarıda dinleyici, kendi evlerinde konuşkan kadınlar...","Durmadan üreten, fikirlerini korkusuzca söyleyen kadınlar...","Kendi çocuklarını da kendisi gibi yetiştirmek isteyen kadınlar...","Erkeklerden daha olgun, onlardan daha öz güvenli kadınlar...","Küçükken güvensiz, büyüdükçe kendinden emin kadınlar...","A"
"Burası bir türbe değil de adeta aşk tapınağı (1) sevdalılar gelip bu anıtkabirin eşiğine yüz sürüyorlar. (II) Zaten Şahı Cihan da karısına yaptığı bu türbeye bakıp bakıp ""Bir günahkar buraya sığındığında tüm günahlarından arınır. Bu yapıtın görünüşü kalbe ağlama veriri. Ama bu rahatlatıcı bir ağlamadır. Güneş ve ay bu yapıta baktığında Gözyaşı döker."" diyor. (III) Taç Mahal'in böylesine tavaf edilen bir anıtkabir olmasına mimari güzelliğinden çok, salt bu benzersiz aşk hikayesi bile yeter. (IV) Şiirli tarihi bile görme hissi uyandırır. (V) Estetikçinin dediği gibi ""Yeryüzünün en güzel türbesi"" ise yine bir başka düşünürün tanımladığı gibi ""Evlilik bağının ve sevgisinin de yüce bir anıtıdır.""","3","Yukarıdaki metin iki paragrafa ayrılmak istense ikinci paragraf kaç numaralı cümle ile başlar?","I","II","III","IV","V","C"
"İlkbaharın en hoşa giden şeyi çimenlerdir. Hani, çok bol oldukları için ve gözlerimizde öteden beri alışılageldiği için hakir gördüğümüz o çimenler... Dünyada renklerin sevileni yeşildir. Yeşilden daha tatlı renk mi olur? Bahar mevsiminde ise yeryüzünün her tarafı yeşillenir. Çimenler açıklı koyulu renkleriyle toprağı kaplar; bahar yağmuru, çimenlikler üzerinde tatlı dalgalar, menevişler meydana getirir; kırların ötesinde berisinde renk renk, yığın yığın çiçekler açılmaya başlar.","4","Yukarıdaki parçada bulunmayan özellik aşağıdakilerden hangisidir?","Öznel yargılara yer verme","Görsel ögelerden yararlanma","Karşılaştırma yapma","Bahara özgü görüntülerin betimlenmesi","İşitsel ögelere yer verme","E"
"Edebiyata duyduğum heves on yıl önceye kadar gider. O zamanlar Fransız okulundaydım. (...) Lamartine'in bütün şiirlerini ezberliyor, teneffüshanede arkadaşlarım voleybol, basketbol oynarlarken, ağaçların gölgesine çekilerek kendi kendime okuyordum. BendekiLamartine sevgisi Galatasaray onuncu sınıfa kadar sürdü. Orada Baudelaire'i keşfettim, daldım Elem Çiçekleri'nin sonsuz bahçesine. Baudelaire'yi okuduktan sonra düşünüşüm, duyuşum, görüşüm değişti. Baudelaire bana suyun dibine inmeye öğretti. İçimle dışım arasındaki farkı Elem Çiçekleri'ni okuyunca anladım. (Cahit Sıtkı Tarancı)","5","Bu paragrafta aşağıdaki sorulardan hangisinin yanıtı yoktur?","Edebiyatta ufkunuzu açan ustalar kimlerdir?","Edebiyata nasıl başladınız?","Sizi başarılı kılan etkenler nelerdir?","Bir kitap insanı değiştirebilir mi?","Kendinizi keşfetmeniz nasıl oldu?","C"
"(1) Vaktiyle yolculuk denince hemen akla trenler, garlar, istasyonlar gelirdi. (II) Ayrılık yaklaşınca peronları kocaman yuvarlak saatlerinin kalkış dakikasına yaklaşan yelkovanına bakılırdı sürekli. (III) Elde valizler, hızlı adımlarla binilecek vagon bulunurdu. (IV) Ya kompartımanın ya da koridorun penceresinden dışarıya eğilerek yerdekilerle yapılan son konuşmalar unutulmaz kolay kolay. (V) Ben gidenlerimin arkasından kimseciklerin duymadığı müzikler çalarım. (VI) Kabarmış yürekleri örtmeye çalışan sözleşen bir görüntü ve yapıştırma gülücükler bu sahnelerin olmazsa olmazıdır.","6","Bu parçada numaralanmış cümlelerden hangisi dil ve düşünce akışını bozmaktadır?","II","III","IV","V","VI","D"
"Türkiye, bazı tarihi nedenlerle uygarlık yarışına geç girmiş, büyük kültürel kopukluklar yaşamış bir ülke. Bu gecikmenin sancıları da çok uzun sürmüştür. Türk şair ve yazarları, bu büyük kopukluğun derin acılarını, izlerini yaşıyor hâlâ. Bugün Türk edebiyatında haddinden fazla bireycilik ve son derece köksüz bir toplumculuk var. Sanki uzayda yaşıyor şair ve yazarlarımız. Halbuki bireycilik de toplumculuk gibi kültürel kökleri olması gereken bir olgudur.","7","Bu parçada aşağıdakilerden hangisine değinilmemiştir?","Türkiye'nin yaşadığı kültürel kopuklukların, sanat ve edebiyata yansıtamadığına","Türkiye'de tarihi nedenlerle toplumculuk olgusunun pek gelişmediğine","Türkiye'de kültürel kökleri olmayan bir bireycilik anlayışının gelişmiş olduğuna","Şair ve yazarlarımızın, kimi gerçeklere yabancı kaldığına","Türkiye'nin uygarlık yarışına geç başlamış bir ülke olduğuna","A"
"Ne zaman bir roman yazsam birileri, en çok da annem, ""Şöyle bir aşk romanı yazsana!"" derdi. Hep günün birinde ana teması aşk olan bir roman yazmayı düşünmüştüm. ""Zamanın Manzarası"" öyle çıktı ortaya. Ama bizim gibi yazarlar, insanın yazgısını merak eden, o tür konularla akrabalık kurmuş yazarlar, aşkı da yazsalar, yanına başka bir sürü konu koyuyorlar.","8","Bu parçadan, aşağıdaki yargıların hangisine ulaşılabilir?","Romanlar genellikle okurun beklentilerine göre biçimlenir.","Sıradan okurlar, aşk romanlarından daha çok hoşlanırlar.","Sadece aşk temasını işlemek güçlü romancılara özgüdür.","Romancının asıl görevi insanın kaderini araştırmaktır.","Romanı tek bir konu üzerine kurmak yazarın elinde değildir","E"
"Kendimi çok az döküp saçıyorum. Normal, gündelik bir hayat sürdürüyorum; bu da bana yetiyor. Barlarda tartışmak, günde elli kişiyle görüşüp konuşmak bana göre değil. Sürekli olarak okuyup yazıyorum. Çok titiz, çok korunaklı yaşıyorum. Alışık olmadığım insanlarla görüşmek beni rahatsız ediyor. Hayran ilişkisi bumerang gibidir; her an nefrete dönüşebilir; budar, ehlileştirir insanı.","9","Böyle konuşan bir kişi için aşağıdakilerden hangisi söylenemez?","İlişkilerinde çok seçici davranır.","Elindekilerle yetinip mutlu olur.","Sürekli olarak kendini denetim altında tutar.","Sevenleri için bile kişiliğinden ödün vermez.","Herkesi kendisi gibi düşünmeye zorlar","E"
"Mark Twain'in düşündürücü bir lafı var. ""İsteklerinizi, hayallerinizi küçümseyen kişilerden mümkün mertebe uzak durun!"" ""Ruhu küçük insanlar başkalarını da daraltmak, azaltmak ister"" diye devam eder söze dünyaca ünlü romancı. Küçümserler her şeyi ve her emeği. Her kelimeleri ağılı. Ruhu engin insanlar ise kendiliğinden destek verir etraflarındakilere. Sadece yakınlarını ya da kendi dostlarını, akrabalarını değil, birilerini kayırmak anlamında değil, bizatihi yaratıcılığı teşvik ederler; her nerede görürlerse görsünler. O yüzden kimlerle arkadaşlık ettiğimiz, vakit geçirdiğimiz ve kimlerin lafını/eleştirisini ciddiye aldığımız hususunda seçici olmak en iyisi, şayet akıl ve ruh sağlığımızı muhafaza edebilmek istiyorsak.","10","Yukarıdaki paragrafta asıl söylenmek istenen aşağıdakilerden hangisidir?","Yaşama dair beklentilerimizi hor gören insanlardan daima sakınmalıyız.","Kendi ruh aleminde hapsolmuş insanlar başkalarını da hapsederler.","Geniş ruhlu insanlar, herkese destek olur.","Geniş ruhlu insanlar, yaratıcılığı desteklerler.","Bu hayatta başarılı olmak istiyorsak etrafımızdaki insanları iyi seçmeliyiz.","E"
